x,y,surface
0.0,0.0,upper
0.009168455833333334,0.02801782956716612,upper
0.018336911666666667,0.03968156869330131,upper
0.027505367500000003,0.04877992197778288,upper
0.036673823333333334,0.05653051433809289,upper
0.045842279166666666,0.06331862217107366,upper
0.055010735000000005,0.06946806746984256,upper
0.06417919083333333,0.07508465555634382,upper
0.07334764666666667,0.08021956200503833,upper
0.08251610250000001,0.08498479289404201,upper
0.09168455833333333,0.08942585123048591,upper
0.10085301416666667,0.09357891986747882,upper
0.11002147000000001,0.09744419062219065,upper
0.11918992583333334,0.10106297850305149,upper
0.12835838166666666,0.10446293040973993,upper
0.1375268375,0.10766393435322338,upper
0.14669529333333334,0.11068329899381905,upper
0.15586374916666668,0.11351737723564129,upper
0.16503220500000002,0.11613823086651784,upper
0.17420066083333333,0.11861393172325299,upper
0.18336911666666666,0.1209556362676878,upper
0.1925375725,0.12311578539208606,upper
0.20170602833333334,0.12512214705696267,upper
0.21087448416666668,0.12701913449190347,upper
0.22004294000000002,0.12876186090951564,upper
0.22921139583333333,0.1303560747595463,upper
0.23837985166666667,0.13186009005997656,upper
0.2475483075,0.1332049522765437,upper
0.2567167633333333,0.1344320195304273,upper
0.2658852191666667,0.13558401456017063,upper
0.275053675,0.1365469787781664,upper
0.28422213083333336,0.13744277188267234,upper
0.2933905866666667,0.13821993533059831,upper
0.3025590425,0.13886987030445044,upper
0.31172749833333335,0.13946307712121156,upper
0.32089595416666666,0.13987757498872927,upper
0.33006441000000003,0.14023972694469208,upper
0.33923286583333334,0.14047694919843548,upper
0.34840132166666665,0.14061554029478202,upper
0.3575697775,0.14067793439665174,upper
0.36673823333333333,0.14059963243604412,upper
0.3759066891666667,0.14048068672471253,upper
0.385075145,0.14020023744328886,upper
0.3942436008333333,0.13987308679439112,upper
0.4034120566666667,0.13942294260460392,upper
0.4125805125,0.1389062843951417,upper
0.42174896833333336,0.1383264257357465,upper
0.4309174241666667,0.13766376971649064,upper
0.44008588000000004,0.13697382491714175,upper
0.44925433583333335,0.13618330137376705,upper
0.45842279166666666,0.1353637302367614,upper
0.46759124750000003,0.13447141315764935,upper
0.47675970333333334,0.13352602549246556,upper
0.4859281591666667,0.13253415953806844,upper
0.495096615,0.13146639570590568,upper
0.5042650708333334,0.13037470376811425,upper
0.5134335266666666,0.1291900711349238,upper
0.5226019825,0.12797990054736594,upper
0.5317704383333334,0.12670188883453543,upper
0.5409388941666666,0.12537580138503207,upper
0.55010735,0.12400630910810705,upper
0.5592758058333334,0.12256658803159244,upper
0.5684442616666667,0.12110316999389588,upper
0.5776127175,0.11955609539886031,upper
0.5867811733333334,0.11798116816740391,upper
0.5959496291666667,0.11634786838422781,upper
0.605118085,0.11466306829118204,upper
0.6142865408333333,0.11294514714569656,upper
0.6234549966666667,0.11115189884294713,upper
0.6326234525000001,0.1093329941174711,upper
0.6417919083333333,0.10745045991351708,upper
0.6509603641666667,0.10552395571076911,upper
0.6601288200000001,0.10356131439079569,upper
0.6692972758333333,0.10152817038787106,upper
0.6784657316666667,0.09946655040062446,upper
0.6876341875,0.09734786552447385,upper
0.6968026433333333,0.09517980522750435,upper
0.7059710991666667,0.09298065463534838,upper
0.715139555,0.09071123443200671,upper
0.7243080108333334,0.08840554985900723,upper
0.7334764666666667,0.0860626788682624,upper
0.7426449225,0.08365097740606624,upper
0.7518133783333334,0.08120467821238675,upper
0.7609818341666666,0.07871867211900689,upper
0.77015029,0.07616604000403344,upper
0.7793187458333334,0.07357602610051774,upper
0.7884872016666666,0.07094664625484011,upper
0.7976556575,0.06825523370256417,upper
0.8068241133333334,0.06551856559848145,upper
0.8159925691666667,0.06273993236423533,upper
0.825161025,0.059917485911313635,upper
0.8343294808333334,0.05703208346449065,upper
0.8434979366666667,0.05410203972887127,upper
0.8526663925,0.0511260909312727,upper
0.8618348483333333,0.04810267939602266,upper
0.8710033041666667,0.04503036831730707,upper
0.8801717600000001,0.04190551518867884,upper
0.8893402158333333,0.03872690839849825,upper
0.8985086716666667,0.03549863599251691,upper
0.9076771275000001,0.032219844768108866,upper
0.9168455833333333,0.028889938974596317,upper
0.9260140391666667,0.025508566890939176,upper
0.9351824950000001,0.02207246893249048,upper
0.9443509508333333,0.018580911324927347,upper
0.9535194066666667,0.015037619510543263,upper
0.9626878625,0.011441870876411173,upper
0.9718563183333334,0.007787402145323232,upper
0.9810247741666667,0.004078244262736008,upper
0.99019323,0.00031356,upper
0.0,0.0,lower
0.009168455833333334,-0.02174064708552328,lower
0.018336911666666667,-0.029557796896171606,lower
0.027505367500000003,-0.034716349369902706,lower
0.036673823333333334,-0.038524825135564864,lower
0.045842279166666666,-0.04138946697876203,lower
0.055010735000000005,-0.04368948649142313,lower
0.06417919083333333,-0.045468279315225235,lower
0.07334764666666667,-0.046887846077938125,lower
0.08251610250000001,-0.04801274970766522,lower
0.09168455833333333,-0.048887642557600586,lower
0.10085301416666667,-0.049548871402562075,lower
0.11002147000000001,-0.05002636465488169,lower
0.11918992583333334,-0.050345026036925505,lower
0.12835838166666666,-0.05052576332037493,lower
0.1375268375,-0.05058628616783058,lower
0.14669529333333334,-0.05054167255314248,lower
0.15586374916666668,-0.0504048434149859,lower
0.16503220500000002,-0.05018692440357677,lower
0.17420066083333333,-0.04989751614776732,lower
0.18336911666666666,-0.04953361429971185,lower
0.1925375725,-0.049111242662552575,lower
0.20170602833333334,-0.04864177632717336,lower
0.21087448416666668,-0.04813093068069339,lower
0.22004294000000002,-0.047583621273746414,lower
0.22921139583333333,-0.046992435178499124,lower
0.23837985166666667,-0.04637623053350717,lower
0.2475483075,-0.04573869508325436,lower
0.2567167633333333,-0.04508160655035068,lower
0.2658852191666667,-0.044403240005134036,lower
0.275053675,-0.043715284263767994,lower
0.28422213083333336,-0.04301929207460242,lower
0.2933905866666667,-0.042315684022532364,lower
0.3025590425,-0.04161025186600209,lower
0.31172749833333335,-0.04090491652078036,lower
0.32089595416666666,-0.04020217660929367,lower
0.33006441000000003,-0.039506592106770363,lower
0.33923286583333334,-0.03881725179810649,lower
0.34840132166666665,-0.038138623050955625,lower
0.3575697775,-0.03747550232665941,lower
0.36673823333333333,-0.03682317952760579,lower
0.3759066891666667,-0.03619004327360585,lower
0.385075145,-0.03557803210528346,lower
0.3942436008333333,-0.034980676654833016,lower
0.4034120566666667,-0.03441636614143223,lower
0.4125805125,-0.03385420483250041,lower
0.42174896833333336,-0.03329378399732838,lower
0.4309174241666667,-0.03272035259990262,lower
0.44008588000000004,-0.03214279823874198,lower
0.44925433583333335,-0.03155720234235268,lower
0.45842279166666666,-0.03096688036342283,lower
0.46759124750000003,-0.030373494704433207,lower
0.47675970333333334,-0.029775538796943054,lower
0.4859281591666667,-0.02917673281840972,lower
0.495096615,-0.02857640867887299,lower
0.5042650708333334,-0.027976371464318,lower
0.5134335266666666,-0.027376523627609707,lower
0.5226019825,-0.026779324572946583,lower
0.5317704383333334,-0.026183609647644986,lower
0.5409388941666666,-0.025591659592192992,lower
0.55010735,-0.02500379726170233,lower
0.5592758058333334,-0.02441889399334641,lower
0.5684442616666667,-0.023842053593304085,lower
0.5776127175,-0.023268566993297973,lower
0.5867811733333334,-0.022703042926203506,lower
0.5959496291666667,-0.022144484366466627,lower
0.605118085,-0.021590938856112366,lower
0.6142865408333333,-0.0210497110174222,lower
0.6234549966666667,-0.02051351882305247,lower
0.6326234525000001,-0.01998764307922441,lower
0.6417919083333333,-0.019471748807133007,lower
0.6509603641666667,-0.018961689898531725,lower
0.6601288200000001,-0.01846735776979505,lower
0.6692972758333333,-0.017980089006475512,lower
0.6784657316666667,-0.017502592670575808,lower
0.6876341875,-0.01703945386555625,lower
0.6968026433333333,-0.016583779380597352,lower
0.7059710991666667,-0.016141387428417933,lower
0.715139555,-0.015711497485945376,lower
0.7243080108333334,-0.015289969147637151,lower
0.7334764666666667,-0.014883720392783783,lower
0.7426449225,-0.014489146059303688,lower
0.7518133783333334,-0.014103796959452424,lower
0.7609818341666666,-0.013733811053877023,lower
0.77015029,-0.013376092198383685,lower
0.7793187458333334,-0.013028342667313262,lower
0.7884872016666666,-0.012693938588447603,lower
0.7976556575,-0.012373964876153505,lower
0.8068241133333334,-0.012064510167102156,lower
0.8159925691666667,-0.011765984524394207,lower
0.825161025,-0.011482313058853687,lower
0.8343294808333334,-0.011211067272187413,lower
0.8434979366666667,-0.010950944821008037,lower
0.8526663925,-0.010702216138300925,lower
0.8618348483333333,-0.010465099700719635,lower
0.8710033041666667,-0.01024170735632584,lower
0.8801717600000001,-0.010029861269388202,lower
0.8893402158333333,-0.009829202116594932,lower
0.8985086716666667,-0.009639719089601836,lower
0.9076771275000001,-0.009461333977661161,lower
0.9168455833333333,-0.00929389328578615,lower
0.9260140391666667,-0.009137162482411577,lower
0.9351824950000001,-0.008990831230964466,lower
0.9443509508333333,-0.008854518388422978,lower
0.9535194066666667,-0.008729238734815747,lower
0.9626878625,-0.008613243217184922,lower
0.9718563183333334,-0.008506623518838626,lower
0.9810247741666667,-0.00840914405411125,lower
0.99019323,-0.00832073068260809,lower
